ID,Link,Author,rcs_nco,Selection ,Ascertaiment.1,Ascertaiment.2,Causality,Reporting.1,Reporting.2,Reporting.3,Overall.Prevalence,Overall,Selecion.1,Selection2.,Selection.3,Selection.4,Comparability,Exposure.1,Exposure.2,Exposure.3,Overall2,Overall.Prevalence2
8149,https://jkms.org/DOIx.php?id=10.3346/jkms.2020.35.e132,"KSID, et al., JKMS, b.",rcs,Low,Low,Low,Low,Low,High,High,Low,High,,,,,,,,,,
8236,https://www.ijbs.com/v16p1698.htm,"Long, et al.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
8264,https://pubmed.ncbi.nlm.nih.gov/32241022/,"Qui, et al.",rcs,High,Low,Low,Low,Low,High,Low,High,High,,,,,,,,,,
8405,https://pubmed.ncbi.nlm.nih.gov/32229732/,"Wang, et al., AJN.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
8424,https://pubmed.ncbi.nlm.nih.gov/32243945/,"Zhang, et al., Chest.",rcs,High,Low,Low,Low,Low,Low,Low,High,High,,,,,,,,,,
8525,https://www.tandfonline.com/doi/full/10.1080/22221751.2020.1746200,"Meng, et al.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
8542,https://www.sciencedirect.com/science/article/pii/S1477893920301216,"Escalera, et al.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
8581,https://jkms.org/DOIx.php?id=10.3346/jkms.2020.35.e142,"Kim, et al.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
8586,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30200-0/fulltext,"Lescure, et al.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
8606,https://www.sciencedirect.com/science/article/pii/S0163445320301468?via%3Dihub,"Wang, et al., JI.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
8609,https://academic.oup.com/cid/article/doi/10.1093/cid/ciaa270/5805508,"Mo, et al.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
8645,https://www.ajkd.org/article/S0272-6386(20)30612-0/fulltext,"Wang, et al., AJKD.",rcs,High,Low,Low,Low,Low,Low,Low,High,High,,,,,,,,,,
8680,https://jamanetwork.com/journals/jama/fullarticle/2762688 ,"Young, et al.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
8691,https://jamanetwork.com/journals/jama/fullarticle/2763983,"Shen, et al.",rcs,High,Low,Low,Low,Low,Low,Low,High,High,,,,,,,,,,
8816,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30196-1/fulltext,"To, et al.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
8844,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0230548,"Yuan, et al.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
8898,https://pubmed.ncbi.nlm.nih.gov/32209381/,"Fang, et al.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
8920,https://pubmed.ncbi.nlm.nih.gov/32173576/,"Liu, et al., IJID.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
8969,https://pubmed.ncbi.nlm.nih.gov/32195887/,"Lu, et al.",rcs,High,Low,Low,Low,Low,Low,Low,High,High,,,,,,,,,,
9041,https://jamanetwork.com/journals/jama/fullarticle/2761044,"Wang, et al., JAMA.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
9056,https://annals.org/aim/fullarticle/2764036,"Chen, et al., AIM.",rcs,High,Low,Low,Low,Low,High,Low,High,High,,,,,,,,,,
9094,https://www.ijidonline.com/article/S1201-9712(20)30174-0/fulltext,"Ye, et al.",rcs,High,Low,Low,Low,Low,Low,Low,High,High,,,,,,,,,,
9113,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7118637/?report=reader,"Wang, et al., CR.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
9122,https://onlinelibrary.wiley.com/doi/full/10.1002/dmrr.3319,"Guo, et al., DMRR.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
9123,https://linkinghub.elsevier.com/retrieve/pii/S1201-9712(20)30172-7,"Zhang, et al., IJID.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
9125,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098482/,"Wang, et al., TERJ.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
9151,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25763,"Zhu, et al.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
9171,https://onlinelibrary.wiley.com/doi/abs/10.1111/all.14309,"Cai, et al., EJACI.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
9175,https://academic.oup.com/cid/article/doi/10.1093/cid/ciaa243/5814897,"Cao, et al.",rcs,High,Low,Low,Low,Low,Low,Low,High,High,,,,,,,,,,
9198,https://journals.lww.com/cmj/Abstract/publishahead/Identification_of_a_novel_coronavirus_causing.99423.aspx,"Ren, et al.",rcs,High,Low,Low,Low,Low,Low,Low,High,High,,,,,,,,,,
9307,https://pubmed.ncbi.nlm.nih.gov/32219356/,"Guo, et al., JC.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
9314,https://jamanetwork.com/journals/jama/fullarticle/2763485?guestAccessKey=969b9fcf-9df5-4b64-be9a-de0c5aa668b1&utm_source=silverchair&utm_medium=email&utm_campaign=article_alert-jama&utm_content=olf&utm_term=031920,"Arentz, et al.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
9321,https://www.annalsofoncology.org/article/S0923-7534(20)36383-3/pdf,"Zhang, et al., AO.",rcs,High,Low,Low,Low,Low,Low,High,High,High,,,,,,,,,,
9332,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7085938/,"NCCE, et al.",rcs,Low,Low,Low,Low,Low,High,High,Low,High,,,,,,,,,,
9339,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25781,"Ding, et al.",rcs,High,Low,Low,Low,Low,Low,Low,High,High,,,,,,,,,,
9340,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7110436/pdf/main.pdf,"Albarello, et al.",rcs,Low,Low,Low,High,Low,High,Low,Low,High,,,,,,,,,,
9377,https://erj.ersjournals.com/content/erj/early/2020/02/26/13993003.00334-2020.full.pdf,"Zhang, et al., ERJ.",rcs,High,Low,Low,Low,Low,Low,Low,High,High,,,,,,,,,,
9400,https://journals.lww.com/cmj/Abstract/publishahead/Analysis_of_factors_associated_with_disease.99363.aspx,"Wei, et al.",rcs,High,Low,Low,Low,Low,Low,Low,High,High,,,,,,,,,,
9431,https://pubmed.ncbi.nlm.nih.gov/32211816/,"Shi, et al.",rcs,High,Low,Low,Low,Low,Low,Low,High,Unclear,,,,,,,,,,
9446,https://annalsofintensivecare.springeropen.com/articles/10.1186/s13613-020-00653-z,"Wang, et al., AIC.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
9496,https://journals.lww.com/asaiojournal/Abstract/onlinefirst/Extracorporeal_Membrane_Oxygenation_for.98540.aspx,"Xin, et al.",rcs,High,Low,Low,High,Low,High,Low,High,High,,,,,,,,,,
9608,https://www.cdc.gov/mmwr/volumes/69/wr/pdfs/mm6913e2-H.pdf,"?CDC COVID-19 RT, b.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
9609,https://pubmed.ncbi.nlm.nih.gov/32236856/,"Iwasawa, et al.",rcs,High,Low,Low,High,Low,High,Low,High,High,,,,,,,,,,
9622,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7102640/,"Liu, et al., TJI. ",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
9667,https://erj.ersjournals.com/content/early/2020/03/17/13993003.00547-2020,"Guan, et al., ERJ. ",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
9679,https://pubs.rsna.org/doi/10.1148/radiol.2020201160,"Wong, et al.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
9695,https://pubmed.ncbi.nlm.nih.gov/32146694/,"Hu, et al. ",rcs,High,Low,Low,Low,Low,Low,Low,High,High,,,,,,,,,,
9702,https://onlinelibrary.wiley.com/doi/full/10.1111/liv.14449,"Xie, et al.",rcs,High,Low,Low,Low,Low,High,Low,High,High,,,,,,,,,,
9764,https://www.ijidonline.com/article/S1201-9712(20)30141-7/fulltext,"Xu, et al., IJID.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
10641,https://pubmed.ncbi.nlm.nih.gov/32203672/,"Liu, et al., AJRCCM.",rcs,High,Low,Low,Low,Low,High,Low,High,High,,,,,,,,,,
10782,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25770,"Gao, et al.",rcs,Low,Low,Low,Low,Low,Low,High,Low,Unclear,,,,,,,,,,
10860,https://www.nejm.org/doi/full/10.1056/NEJMoa2005412?query=featured_home,"McMichael, et al.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
10861,https://pubmed.ncbi.nlm.nih.gov/32155105/,"Bai, et al.",rcs,High,Low,Low,Low,Low,High,Low,High,High,,,,,,,,,,
8965,https://academic.oup.com/cid/article/doi/10.1093/cid/ciaa322/5811425,"Zhao, et al.",nco,,,,,,,,,,Low,Low,High,Low,Low,Low,Low,Low,Low,Low
9174,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa247/5803301,"Sun, et al.",nco,,,,,,,,,,Low,High,High,Low,Low,Low,Low,Low,Unclear,Unclear
